RTU,Building ,Suite,Manufacturer,Year,Model,Serial,Compressor Charge,Tonnage,SEER,EER,Heat,Heating Element,Power Supply,Routine Service,Status
1,1057,,Carrier,2007,50TM-006-A-501--,4407G10159,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
2,1057,,Carrier,2007,50TM-006-A-501--,4704G30161,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
3,1057,,Carrier,2007,50TM-006-A-501--,4507G20167,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
4,1057,,Carrier,2007,50TM-006-A-501--,4507G40163,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
5,1057,,LENNOX,2001,CHA16-060-1Y,5601E04231,R-22 (7 Ibs / 3.75 kg),,,,Gas ,,208/240 3PH 60Hz,6/20/2024,
6,1057,,Carrier,2007,50TM-006-A-501--,4507G40158,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
7,1057,,Carrier,2007,50TM-006-A-501--,4207G10162,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
8,1057,,Carrier,2007,50TM-006-A-501--,4407G10155,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
9,1057,,Carrier,2007,50TM-006-A-501--,1607G40282,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
10,1057,,Carrier,2007,50TM-006-A-501--,3407G50315,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
11,1057,,Carrier,2007,50TM-006-A-501--,3707G50249,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
12,1057,,Carrier,2007,50TM-006-A-501--,4207G10161,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
13,1057,,Carrier,2007,50TM-006-A-501--,4407G40283,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
14,1057,,Carrier,2007,24ACR336A300,3907E13777,R-22 (6.10 Ibs / 2.77 kg),3,13,8.5,Gas (1-Stage),,208/230 1PH 60Hz,6/20/2024,
15,1057,,Carrier,2007,38ARZ012---501--,4507G40097,R-22 (9 Ibs / 4.08 kg),10,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
16,1057,,Carrier,2007,50TM-006-A-501--,1604G30429,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
17,1057,,Carrier,2007,50TM-006-A-501--,3707G50249,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
18,1057,,Carrier,2007,50TM-006-A-501--,3707G50249,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
19,1057,,Carrier,2007,50TM-006-A-501--,3707G50249,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
20,1057,,Carrier,2007,50TM-006-A-501--,3707G50249,R-22 (7.9 Ibs / 3.55 kg),5,,8.5,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
21,1057,,Panasonic,2017,CU-E12RKUA,6543202695,R-401A (2.38 Ibs / 1.08 kg),1,22.5,12.5,,,208/230 1PH 60Hz,6/20/2024,
22,1057,,RUUD,2003,UAKA-048CAZ,5433F270311547,R-22 (6.44 Ibs / 2.92 kg),4,12,,,,208/230 3PH 60Hz,6/20/2024,
FCU 1,1057,,Carrier,2007,50TM-006-A-501--,3707G50249,R-22 (7.9 Ibs / 3.55 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Repair Required
FCU 2,1057,,Carrier,2007,50TM-006-A-501--,3707G50249,R-22 (7.9 Ibs / 3.55 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
FCU 2A,1057,,Carrier,2007,50TM-006-A-501--,3707G50249,R-22 (7.9 Ibs / 3.55 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,
1,1055,,Carrier,2005,48TFD006G--55862,0805G30369,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
2,1055,,Carrier,2005,48TFD006G--55862,0805G30375,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
3,1055,,Carrier,2005,48TFD006G--55862,0805G30382,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
4,1055,,Carrier,2005,48TFD006G--55862,0805G30371,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
5,1055,,Carrier,2005,48TFD006G--55862,0805G30370,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
6,1055,,Carrier,2005,48TFD006G--55862,0805G30380,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
7,1055,,Carrier,2005,48TFD006G--55862,0805G30368,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
8,1055,,Carrier,2005,48TFD006G--55862,0805G30367,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,OFF
9,1055,,Carrier,2005,48TFD006G--55862,0805G30365,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
10,1055,,Carrier,2005,48TFD006G--55862,0805G30374,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
11,1055,,Carrier,2011,48TCDA04A2A5A0A0A0,0211G10235,R-410A (6.2 Ibs / 2.8 kg),5,13,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
12,1055,,Carrier,2005,48TFD006G--55862,0805G30381,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,OFF
13,1055,,Carrier,2005,48TFD006G--55862,0805G30373,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
14,1055,,Carrier,2005,48TFD006G--55862,0805G30376,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
15,1055,,Carrier,2005,48TFD006G--55862,0805G30379,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
16,1055,,Carrier,2005,48TFD006G--55862,0805G30372,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
17,1055,,Carrier,2005,48TFD006G--55862,0805G30378,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
18,1055,,Carrier,2005,48TFD006G--55862,0805G30377,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
19,1055,,Carrier,2005,48TFD005G--55862,0805G30383,R-22 (6.4 Ibs / 2.9 kg),4,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
20,1055,,Carrier,2005,48TFD005G--55862,0805G30384,R-22 (6.4 Ibs / 2.9 kg),4,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
21,1055,,Carrier,2005,50TFF005G--55862,0805G30360,R-22 (6.4 Ibs / 2.9 kg),4,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
22,1055,,Carrier,2005,50TFF004G--55869,0805G30359,R-22 (4.3 Ibs / 1.9 kg),3,10,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
23,1055,,Carrier,2004,50TM-008-A-501--,2404G51051,R-22 (7.6 Ibs / 3.4 kg),7.5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
25,1055,,Carrier,2005,50TFF004G--55869,0905G20440,R-22 (4.3 Ibs / 1.9 kg),3,10,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
26,1055,,Carrier,2005,50TFF004G--55869,0805G30358,R-22 (4.3 Ibs / 1.9 kg),3,10,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
27,1055,,Carrier,2005,50TM-012G--55862,0905G20680,R-22 (8.6 Ibs / 3.9 kg),10,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
30,1055,,Carrier,2005,48TFD006G--55862,0805G30366,R-22 (7.9 Ibs / 3.6 kg),5,,,Gas (1-Stage),,208/230 3PH 60Hz,6/20/2024,Operational
31,1055,,Trane,,,,,,,,,,,,Decommissioned
